协议名称,协议值,备注,属性,类型,子类型,说明
A2S_ACCOUNT_DELROLE,0x59,删除角色,,,,
A2S_EMAIL_AWAKEN,0x42,邮件唤醒,,,,
A2S_SEND_EMAIL,0x43,发送邮件,,,,
A2S_EMAIL_SENDNOTIFY,0x4b,查询邮件,,,,
A2S_QUESTIONCODE,0x60,允许设置密保,,,,
A2S_SETQUESTION,0x61,设置密保,,,,
A2S_PROTECTINFO_GET,0x62,获取安全信息,,,,
A2S_PROTECTINFO_SET,0x63,设置安全信息,,,,
A2S_URLCODE_GET,0x64,获取随机密码,,,,
A2S_BEAUTIFUL_INIT,0x65,设置美人标记,,,,
A2S_ROLEFLAG_GET,0x66,获取美人标记,,,,
A2S_BINDPHONE_NOTIFY,0x1f,绑定手机,,,,
,,,,,,
S2A_SMS,0x90,发送短信,,,,
S2A_SHENZHENXING_ALARM_THRESHOLD,0xb6,设置神州行余额阈值告警,,,,
S2A_GIFT_GET,0xba,获取礼包，帐号唯一,,,,
S2A_GIFT_QUERY,0xbc,查询礼包，帐号唯一,,,,
S2A_INVITE_QUERYROLES,0xd8,邀请成功的角色信息,,,,
S2A_ACCOUNT_INVITERINFO,0xd9,帐号绑定的邀请人信息,,,,
A2S_SMS,0x90,发送短信,,,,
A2S_SHENZHOUXING_ALARM_THRESHOLD,0xb6,设置神州行余额阈值告警,,,,
A2S_GIFT_GET,0xba,获取礼包，帐号唯一,,,,
A2S_GIFT_QUERY,0xbc,查询礼包，帐号唯一,,,,
A2S_INVITE_ROLESINFO,0xd2,邀请成功的角色信息,,,,
A2S_INVITE_UPDATE,0xd3,给邀请人增加积分,,,,
A2S_ACCOUNT_INVITER,0xd4,帐号绑定的邀请人信息,,,,
,,,,,,
S2A_RANDOM_SEVER,0xf1,发送到随机服务器,,,,
S2A_ALARM,0xf3,脚本报错系统,,,,
S2A_ALARMOPERATION,0xf4,脚本报错操作,,,,
S2A_FILE_REQUEST,0xf6,发送文件,,,,
A2S_RANDOM_SEVER,0xf1,发送到随机服务器,,,,
A2S_ALARM,0xf3,脚本报错系统,,,,
A2S_ALARMOPERATION,0xf4,脚本报错操作,,,,
A2S_FILE_REQUEST,0xf6,发送文件,,,,
A2S_OTHER,0x77,扩展协议,,,,
